Zip Code,Population,Poverty Rate (%),Median Household Income ($),Income Ratio (vs Metro),Unemployment Rate (%),No Health Insurance (%),SNAP Recipients (%),No HS Diploma (%),Vacancy Rate (%),Owner Occupancy Rate (%),No Vehicle (%)
77002,21015,13.4,86394,1.15,2.3,11.1,3.2,14.2,19,8.2,16.3
77003,10164,19.3,83980,1.12,7.1,14.7,14.1,7.9,13.8,41,19.1
77004,35997,28.2,71199,0.95,11.6,12.7,15.1,5.6,11.9,38.2,14.9
77005,28874,4.2,229267,3.05,4.9,3.5,0.3,1.6,6.3,71.9,6.7
77006,24892,8.5,106533,1.42,3.6,6.5,2.9,1.5,13.7,34.6,6.1
77007,47808,5.1,144911,1.93,2.2,6.8,1.6,1.4,8.3,46.2,2
77008,41645,8.5,143229,1.9,2.8,5.4,3.6,4,6.9,59.1,4.5
77009,35769,11.8,83148,1.1,4.5,15,11.7,21.6,15.2,57.6,9.8
77010,718,0,189315,2.52,0,0,0,0,41,0,4.1
77011,14940,20.9,50133,0.67,9.6,31,15.7,40.9,17.5,52.2,13
77012,16286,27.3,45025,0.6,6.2,36.9,20.2,42.9,11.1,37.9,10.9
77013,18259,29.6,47060,0.63,11.5,34.1,22.5,32.8,16.7,41.9,8
77014,36119,26.3,55589,0.74,9.4,25.5,22.8,20.8,8,50.2,10.4
77015,58415,18.1,57753,0.77,7.2,29.2,23.3,30.5,9.4,53.2,6.6
77016,29841,24.5,47677,0.63,13,26.5,23.4,24.9,11.6,61.2,8.5
77017,29640,23,51079,0.68,8.5,39.6,27.1,39.9,8.8,51,8.7
77018,31031,11.6,127017,1.69,4.8,12.8,8.4,7.5,9.5,67.5,5.4
77019,23708,9.1,116423,1.55,5.4,6.9,3.3,1.7,11.3,37.6,5.2
77020,23686,26.2,50119,0.67,10.8,27.6,24.3,34.4,11,53.8,17.2
77021,26153,29,45574,0.61,11.7,21.5,22.1,16.9,13.3,41.8,20.3
77022,25805,24.7,52739,0.7,8.6,32.1,26.6,32.7,12.5,50.4,14.7
77023,24281,14.5,51430,0.68,7.6,21.8,14.8,25.7,11.7,48.1,15.1
77024,38288,5.3,136149,1.81,3.5,4.1,1.7,2.3,13,63.3,4.7
77025,29715,10.5,81008,1.08,3.5,8,2.8,6,9.1,40.6,12
77026,21981,30.8,39211,0.52,14.4,27.7,31.9,31.4,15.4,43.7,16.8
77027,20317,7.6,103812,1.38,4.2,8.9,2.6,1.8,13.8,30.2,4.4
77028,19109,33.4,38357,0.51,16.3,28.4,40.4,26.7,12.5,56.9,12
77029,16154,28.4,48279,0.64,11.2,32.3,23.2,38.5,13.1,65.6,11
77030,13380,12,77336,1.03,2.7,2.5,3.3,1.6,17.8,34.1,13.6
77031,15179,25.6,47162,0.63,8.6,34.2,23.3,32.1,14.9,48.6,11.1
77032,12403,30.5,43725,0.58,9.4,24.6,41.9,32,12.4,34.3,11.2
77033,29154,33.4,38071,0.51,14.7,29.5,35.3,28.7,9.4,59,10.6
77034,36456,21.2,58217,0.77,7.3,33.6,19.4,29.9,12.5,51,9.4
77035,36019,22.2,58686,0.78,8.5,23,18.1,20.1,9.2,40.5,14.3
77036,71770,29.5,45716,0.61,5.9,46.8,23.2,45.4,11.6,17.7,19.8
77037,19004,31,58750,0.78,5.2,36.8,18.9,47.8,5.9,64.2,1.7
77038,32637,21.5,57232,0.76,3.9,36.2,22.9,35.2,3.9,57.6,6.6
77039,27862,24.1,47119,0.63,5.5,37.2,20.2,41.3,8.3,59.7,9.4
77040,50977,21.1,65028,0.86,6.6,20.6,13.9,22.3,5.6,50.5,4.8
77041,33349,13,77083,1.02,5.5,19.8,7.8,16.9,4.3,71.8,1.2
77042,38721,17.7,59097,0.79,8.7,25,14.7,10.4,15.4,26.3,9.1
77043,29048,14.8,79359,1.05,5.5,21.7,9.4,15.7,5.1,52.8,6
77044,58347,13.8,95000,1.26,7,21.2,12.9,15.4,4.8,75.9,5.9
77045,33563,23.7,59688,0.79,10.1,25.9,16.7,25.1,3.5,61.1,6.2
77046,1793,13.7,131932,1.75,0,2,1.8,0,14.2,48.9,10.5
