id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40561,77024,38288,5.30,136149.00,1.76,3.50,4.10,1.70,2.30,13.00,63.30,4.70,20.17,18,2,21.64
40562,77025,29715,10.50,81008.00,1.05,3.50,8.00,2.80,6.00,9.10,40.60,12.00,40.25,78,2,15.04
40563,77026,21981,30.80,39211.00,0.51,14.40,27.70,31.90,31.40,15.40,43.70,16.80,94.31,187,2,9.09
40564,77027,20317,7.60,103812.00,1.34,4.20,8.90,2.60,1.80,13.80,30.20,4.40,31.49,50,2,7.81
40565,77028,19109,33.40,38357.00,0.50,16.30,28.40,40.40,26.70,12.50,56.90,12.00,92.87,185,2,6.88
40566,77029,16154,28.40,48279.00,0.63,11.20,32.30,23.20,38.50,13.10,65.60,11.00,82.71,176,2,4.61
40567,77030,13380,12.00,77336.00,1.00,2.70,2.50,3.30,1.60,17.80,34.10,13.60,41.36,80,2,2.47
40568,77031,15179,25.60,47162.00,0.61,8.60,34.20,23.30,32.10,14.90,48.60,11.10,79.45,173,2,3.86
40569,77032,12403,30.50,43725.00,0.57,9.40,24.60,41.90,32.00,12.40,34.30,11.20,87.08,182,2,1.72
40570,77033,29154,33.40,38071.00,0.49,14.70,29.50,35.30,28.70,9.40,59.00,10.60,89.30,184,2,14.61
40571,77034,36456,21.20,58217.00,0.75,7.30,33.60,19.40,29.90,12.50,51.00,9.40,70.23,156,2,20.23
40572,77035,36019,22.20,58686.00,0.76,8.50,23.00,18.10,20.10,9.20,40.50,14.30,69.84,155,2,19.89
40573,77036,71770,29.50,45716.00,0.59,5.90,46.80,23.20,45.40,11.60,17.70,19.80,97.71,189,2,47.39
40574,77037,19004,31.00,58750.00,0.76,5.20,36.80,18.90,47.80,5.90,64.20,1.70,72.89,162,2,6.80
40575,77038,32637,21.50,57232.00,0.74,3.90,36.20,22.90,35.20,3.90,57.60,6.60,66.40,149,2,17.29
40576,77039,27862,24.10,47119.00,0.61,5.50,37.20,20.20,41.30,8.30,59.70,9.40,74.99,166,2,13.61
40577,77040,50977,21.10,65028.00,0.84,6.60,20.60,13.90,22.30,5.60,50.50,4.80,56.54,127,2,31.40
40578,77041,33349,13.00,77083.00,1.00,5.50,19.80,7.80,16.90,4.30,71.80,1.20,39.63,77,2,17.84
40579,77042,38721,17.70,59097.00,0.77,8.70,25.00,14.70,10.40,15.40,26.30,9.10,62.29,141,2,21.97
40580,77043,29048,14.80,79359.00,1.03,5.50,21.70,9.40,15.70,5.10,52.80,6.00,47.27,103,2,14.53
40581,77044,58347,13.80,95000.00,1.23,7.00,21.20,12.90,15.40,4.80,75.90,5.90,43.87,90,2,37.07
40582,77045,33563,23.70,59688.00,0.77,10.10,25.90,16.70,25.10,3.50,61.10,6.20,64.74,143,2,18.00
40583,77046,1793,13.70,131932.00,1.71,0.00,2.00,1.80,0.00,14.20,48.90,10.50,,,1,
40584,77047,34987,14.40,78538.00,1.02,8.10,18.00,16.60,11.50,4.40,72.40,7.00,47.05,101,2,19.10
40585,77048,21151,26.90,56747.00,0.73,12.60,14.90,25.50,16.10,10.10,58.60,9.70,69.54,153,2,8.45
40586,77049,40418,20.10,62971.00,0.82,8.40,28.40,16.70,25.10,5.30,67.90,5.20,59.77,135,2,23.27
40587,77050,6566,49.70,37009.00,0.48,6.80,42.20,28.20,40.90,2.40,49.50,1.90,,,1,
40588,77051,19795,37.80,37415.00,0.48,16.80,20.60,35.30,18.90,9.80,41.80,19.50,97.42,188,2,7.41
40589,77053,30198,15.60,66510.00,0.86,5.70,27.80,17.50,27.00,2.30,67.20,4.40,53.51,118,2,15.41
40590,77054,28272,19.00,62106.00,0.80,6.40,13.30,7.20,2.00,10.70,11.80,15.10,58.25,129,2,13.93
40591,77055,45435,20.90,74369.00,0.96,5.80,25.70,11.00,21.50,9.10,46.00,9.40,59.72,134,2,27.13
40592,77056,22877,8.60,93499.00,1.21,5.40,10.90,2.50,1.80,18.00,33.50,5.60,36.16,65,2,9.78
40593,77057,46569,18.50,66971.00,0.87,5.70,24.80,5.90,15.10,12.60,31.80,11.80,59.37,133,2,28.01
40594,77058,17850,13.20,68722.00,0.89,5.10,15.20,7.30,6.70,11.00,31.20,4.50,44.12,92,2,5.91
40595,77059,18767,3.90,161944.00,2.10,6.10,5.90,0.50,3.30,3.60,94.20,0.30,10.65,4,2,6.62
40596,77060,45340,34.70,40435.00,0.52,8.80,43.50,24.70,45.90,10.50,25.30,13.50,98.13,191,2,27.06
40597,77061,24004,22.40,45115.00,0.58,6.00,34.80,20.60,33.50,12.10,37.90,13.30,77.67,168,2,10.65
40598,77062,25523,9.00,103889.00,1.35,4.50,9.00,7.60,6.30,4.40,75.60,4.20,28.13,41,2,11.82
