id_no,zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,distress_rank,working_poor_score,working_poor_rank
9717,77336,12510,16.30,6.10,13.60,10.00,12.80,41.11,84,27.60,72
9718,77338,47335,17.00,5.40,22.20,16.30,12.70,50.02,113,42.99,127
9719,77339,43364,8.80,6.20,9.30,7.10,4.50,36.07,66,13.36,18
9720,77340,35439,22.80,9.00,14.10,8.70,11.10,57.00,130,15.24,25
9721,77345,27574,3.60,4.40,3.80,1.70,3.10,11.47,5,8.91,7
9722,77346,75577,7.10,5.40,7.70,5.20,6.20,22.35,29,14.69,23
9723,77354,40501,7.50,3.60,11.50,3.40,7.00,23.34,32,23.62,62
9724,77355,31727,7.60,5.80,13.30,5.70,11.10,28.40,40,23.21,60
9725,77356,31069,7.10,1.30,8.20,4.50,4.60,21.02,25,27.45,71
9726,77357,34770,15.10,4.00,28.90,15.40,19.70,46.29,103,59.55,154
9727,77365,43025,10.60,5.90,20.00,10.80,17.90,36.32,67,39.38,113
9728,77372,14088,11.50,6.20,23.30,11.00,20.00,40.58,81,43.38,128
9729,77373,68273,8.30,5.80,16.60,11.60,11.80,34.13,62,31.78,85
9730,77375,71198,11.00,2.80,9.10,7.60,7.60,28.17,38,28.36,76
9731,77377,39154,5.00,4.50,7.40,2.80,7.00,18.76,14,16.28,31
9732,77378,17576,14.40,6.90,23.90,11.90,19.00,46.55,105,41.31,119
9733,77379,83163,8.10,6.00,9.00,6.10,4.80,26.62,35,13.23,17
9734,77380,31151,6.40,4.60,10.60,3.80,3.30,32.44,58,16.26,30
9735,77381,35184,5.50,4.10,5.40,4.40,2.80,19.30,16,13.40,19
9736,77382,40170,4.00,6.70,5.80,0.30,1.50,13.65,7,0.00,1
9737,77384,24148,3.00,3.90,8.20,2.30,1.80,23.14,31,13.93,20
9738,77385,26889,6.50,5.20,8.80,5.40,7.80,23.75,33,18.01,38
9739,77386,69549,7.10,3.80,8.60,3.10,4.90,17.55,9,18.14,40
9740,77388,52910,7.60,6.40,16.30,7.00,8.30,31.41,52,22.33,56
9741,77389,44545,8.60,5.10,12.50,4.30,5.20,20.76,22,18.37,41
9742,77396,58893,13.30,7.00,23.70,12.20,16.80,45.11,95,39.02,111
9743,77401,17125,2.60,3.00,1.90,2.10,1.50,0.00,1,10.99,9
9744,77406,65716,5.60,3.40,9.80,4.10,4.90,16.80,8,21.47,53
9745,77407,81459,6.80,5.10,13.20,7.10,8.80,29.10,44,24.65,65
9746,77418,10467,13.70,2.10,14.80,8.40,11.10,33.58,60,39.80,115
