id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,rank,exclude
9599,77563,10212,15.80,80199.00,1.07,9.50,17.40,16.10,11.80,11.80,77.10,3.80,47.54,107,2
9600,77565,6583,9.60,85726.00,1.14,2.50,12.10,6.00,5.20,8.90,57.30,2.30,,,1
9601,77566,30057,11.00,91406.00,1.22,6.60,15.10,7.10,6.30,6.80,64.70,2.80,35.21,64,2
9602,77568,21118,13.80,72912.00,0.97,5.80,16.40,15.80,12.20,10.00,73.70,4.00,42.81,88,2
9603,77571,37659,12.00,83795.00,1.11,4.70,15.50,9.60,11.00,4.20,73.10,5.40,37.04,71,2
9604,77573,97871,4.20,122783.00,1.63,3.90,7.80,3.70,4.20,3.10,75.50,2.30,18.45,13,2
9605,77575,16617,17.10,52238.00,0.69,6.70,26.50,19.10,20.40,14.70,73.80,5.10,56.08,126,2
9606,77578,27195,3.50,132571.00,1.76,5.20,9.10,4.60,9.30,6.90,80.30,2.30,20.67,21,2
9607,77581,50240,3.20,106556.00,1.42,3.40,8.00,3.60,6.20,3.00,76.70,1.70,19.12,15,2
9608,77583,47646,6.90,107510.00,1.43,4.50,15.60,9.90,15.30,10.00,92.10,1.70,28.49,41,2
9609,77584,90979,5.10,116373.00,1.55,3.30,7.10,6.80,6.40,6.20,75.10,2.80,21.18,26,2
9610,77586,24019,5.50,115301.00,1.53,4.20,10.70,2.50,7.60,7.40,74.00,1.80,22.46,30,2
9611,77587,16058,23.50,52407.00,0.70,9.30,30.90,22.40,40.30,9.20,54.30,4.20,72.38,162,2
9612,77590,33145,17.50,63274.00,0.84,8.50,18.80,19.20,16.00,6.90,50.20,7.00,56.74,128,2
9613,77591,16840,17.80,66010.00,0.88,5.10,14.60,14.30,10.00,8.50,53.50,8.50,48.93,112,2
9614,77598,26638,11.00,59758.00,0.79,4.00,14.60,10.80,8.70,6.70,21.60,7.00,45.61,97,2
