zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,working_poor_score,distress_rank,working_poor_rank
77090,40110,23.1,8.9,22.8,18.5,10.9,66.34,29.92,147,93
77091,28728,39.6,8.4,28.9,29.2,27.3,93.20,61.80,185,163
77092,36938,21.3,5.6,35.7,12.8,24.9,64.58,61.10,141,159
77093,46407,29.6,5.9,38.3,24.2,46.7,81.86,93.64,174,189
77094,10395,6.8,5.7,6.2,2.4,1.3,17.76,2.35,9,5
77095,69767,5.2,6.2,11.2,5.8,8,27.71,14.83,37,42
77096,35032,13.7,4.2,15.3,13.7,10.2,45.70,32.55,95,103
77098,17210,9.6,4.5,8.8,1.6,1.4,32.54,7.65,54,12
77099,50064,25.3,10.7,35.1,23.1,27.6,78.35,56.32,168,155
77301,37769,17.1,4.5,27.8,12.6,23.4,53.69,55.57,118,154
77302,21546,13.3,3.4,21.7,11.1,11.8,36.45,40.25,67,122
77303,28854,18.9,8.8,21.5,13.3,12,47.52,26.24,105,79
77304,44225,8.2,3,14.4,5,7.2,32.49,25.56,53,76
77306,18086,15.3,1.3,33.7,20,37.9,49.97,90.67,111,186
77316,34694,6.4,5.1,9.2,5.1,5.4,20.81,13.04,21,34
77318,20792,6.6,3.2,11.2,6.9,9.1,27.22,25.52,36,75
77320,38152,15.4,8.1,14.8,13,17.4,52.94,27.64,115,81
77327,42685,22.6,5.4,35.2,18.5,26.9,60.79,67.62,137,174
77328,17208,20.9,5.7,30.7,12.5,23.6,54.16,54.79,121,152
77336,14342,14.7,6.8,13.4,9.9,9.6,38.42,19.80,70,59
77338,48031,19.6,6.3,22.1,16.8,10,53.98,34.64,119,109
77339,44538,8.6,5.6,10.8,6.6,4.9,36.18,13.63,65,39
77340,37517,22.2,10.3,15.8,8.4,13.5,61.25,14.63,138,41
77345,27917,4.9,5.3,3.9,1,3.1,13.28,2.26,5,4
77346,79538,7.5,4.9,8.1,5.3,5.8,21.95,13.20,27,36
77354,44900,6.3,4.2,11.8,3,6.7,23.81,17.72,28,55
77355,32847,8.5,6.1,13.7,3.6,8,28.93,15.68,43,47
77356,32583,8.8,2.3,9.4,5.3,4.8,25.61,20.89,31,60
77357,37592,16.3,3.9,28.5,14.1,19.5,47.42,55.06,104,153
77365,46418,11.5,5.3,21.6,11.5,17.1,37.35,40.40,68,123
77372,14367,13,4.7,23.5,9.7,20,41.52,45.46,80,137
77373,69739,10.7,5.1,16.4,12.4,11.9,35.47,31.68,62,102
77375,72311,10.3,2.8,8.5,7.4,7.6,28.09,23.11,39,71
77377,41680,7,4.8,7.9,4,8.3,20.16,14.91,16,43
77378,17629,10.6,6.7,22.9,13.2,18.7,46.10,40.42,96,124
77379,85190,7.5,6.2,8.7,6.3,5.4,27.01,10.30,35,23
77380,31369,8.2,4.1,9.3,4,3.1,32.86,12.83,55,30
77381,36139,4.7,4.7,7.3,4.3,2.4,19.15,8.81,12,15
77382,38986,5.1,5.5,4.2,0.2,1.8,12.77,0.00,4,1
77384,26781,4.3,4.5,9,3.1,1.8,28.20,9.38,41,18
77385,28156,6.4,4.8,10.5,4.7,9.1,24.06,18.58,30,58
77386,69980,6.7,3.6,8.1,2,4.5,17.28,13.15,7,35
77388,53425,8.2,5.3,14,6.8,8.3,30.00,21.01,45,61
77389,45701,8.4,5,11.3,5.4,6.3,21.93,16.35,26,50
77396,61735,14.6,7.1,22.5,12.9,15.9,47.42,35.79,103,114
77401,17213,2.4,3.7,2.4,1.9,1.1,0.00,4.20,,7
77406,69918,6,4,7.6,3.8,4.8,17.81,13.21,10,37
77407,88319,9.1,5.6,12.9,9,9.8,33.05,22.37,56,68
77418,10171,6.6,2.4,11.2,5.8,8.3,26.92,26.19,34,78
77422,14547,10.1,3.6,14.2,8.5,16.6,37.58,35.97,69,115
77423,18767,14.6,3.5,19.6,11.2,17.3,38.95,43.83,73,133
77429,96334,5.5,5.5,8.2,4.1,6.4,20.72,11.26,20,25
77433,116550,7,5.7,10.2,5.2,6,20.91,12.88,23,31
77441,41324,3,2.8,2.6,3.5,2,4.23,9.14,1,16
77445,16142,15.6,5.6,24.7,17,19.5,52.15,48.93,114,143
77447,25231,6.4,7.2,14,6.2,8.6,27.78,15.33,38,44
77449,130028,12.7,6.9,21.1,12.5,14.8,42.25,33.69,84,105
77450,71906,7.7,5.7,12.2,3.4,5.4,26.78,12.68,33,29
77459,84221,5.9,4.9,8.7,5.6,4.8,19.68,12.94,14,32
77461,12365,14.6,6,27.1,4.9,19,42.91,40.22,86,121
77469,69826,7.7,4.5,15.9,8.7,9.9,29.15,28.11,44,84
77471,45325,18.2,6.3,19.3,15.6,13.3,50.39,34.64,112,108
