zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,exclude,distress_score,rank
77002,21015,13.4,86394,1.12,2.3,11.1,3.2,14.2,19,8.2,16.3,2,53.07,116
77003,10164,19.3,83980,1.09,7.1,14.7,14.1,7.9,13.8,41,19.1,2,60.60,136
77004,35997,28.2,71199,0.92,11.6,12.7,15.1,5.6,11.9,38.2,14.9,2,67.92,151
77005,28874,4.2,229267,2.97,4.9,3.5,0.3,1.6,6.3,71.9,6.7,2,8.93,2
77006,24892,8.5,106533,1.38,3.6,6.5,2.9,1.5,13.7,34.6,6.1,2,31.21,48
77007,47808,5.1,144911,1.88,2.2,6.8,1.6,1.4,8.3,46.2,2,2,17.63,8
77008,41645,8.5,143229,1.86,2.8,5.4,3.6,4,6.9,59.1,4.5,2,21.66,25
77009,35769,11.8,83148,1.08,4.5,15,11.7,21.6,15.2,57.6,9.8,2,48.40,108
77010,718,0,189315,2.45,0,0,0,0,41,0,4.1,1,,
77011,14940,20.9,50133,0.65,9.6,31,15.7,40.9,17.5,52.2,13,2,78.51,169
77012,16286,27.3,45025,0.58,6.2,36.9,20.2,42.9,11.1,37.9,10.9,2,82.77,176
77013,18259,29.6,47060,0.61,11.5,34.1,22.5,32.8,16.7,41.9,8,2,83.62,178
77014,36119,26.3,55589,0.72,9.4,25.5,22.8,20.8,8,50.2,10.4,2,71.48,158
77015,58415,18.1,57753,0.75,7.2,29.2,23.3,30.5,9.4,53.2,6.6,2,65.12,143
77016,29841,24.5,47677,0.62,13,26.5,23.4,24.9,11.6,61.2,8.5,2,74.13,164
77017,29640,23,51079,0.66,8.5,39.6,27.1,39.9,8.8,51,8.7,2,79.22,170
77018,31031,11.6,127017,1.65,4.8,12.8,8.4,7.5,9.5,67.5,5.4,2,31.96,50
77019,23708,9.1,116423,1.51,5.4,6.9,3.3,1.7,11.3,37.6,5.2,2,31.04,47
77020,23686,26.2,50119,0.65,10.8,27.6,24.3,34.4,11,53.8,17.2,2,84.09,179
77021,26153,29,45574,0.59,11.7,21.5,22.1,16.9,13.3,41.8,20.3,2,83.37,177
77022,25805,24.7,52739,0.68,8.6,32.1,26.6,32.7,12.5,50.4,14.7,2,80.78,173
77023,24281,14.5,51430,0.67,7.6,21.8,14.8,25.7,11.7,48.1,15.1,2,65.48,144
77024,38288,5.3,136149,1.76,3.5,4.1,1.7,2.3,13,63.3,4.7,2,20.17,17
77025,29715,10.5,81008,1.05,3.5,8,2.8,6,9.1,40.6,12,2,40.25,77
77026,21981,30.8,39211,0.51,14.4,27.7,31.9,31.4,15.4,43.7,16.8,2,94.31,186
77027,20317,7.6,103812,1.34,4.2,8.9,2.6,1.8,13.8,30.2,4.4,2,31.49,49
77028,19109,33.4,38357,0.50,16.3,28.4,40.4,26.7,12.5,56.9,12,2,92.87,184
77029,16154,28.4,48279,0.63,11.2,32.3,23.2,38.5,13.1,65.6,11,2,82.71,175
77030,13380,12,77336,1.00,2.7,2.5,3.3,1.6,17.8,34.1,13.6,2,41.36,79
77031,15179,25.6,47162,0.61,8.6,34.2,23.3,32.1,14.9,48.6,11.1,2,79.45,172
77032,12403,30.5,43725,0.57,9.4,24.6,41.9,32,12.4,34.3,11.2,2,87.08,181
77033,29154,33.4,38071,0.49,14.7,29.5,35.3,28.7,9.4,59,10.6,2,89.30,183
77034,36456,21.2,58217,0.75,7.3,33.6,19.4,29.9,12.5,51,9.4,2,70.23,155
77035,36019,22.2,58686,0.76,8.5,23,18.1,20.1,9.2,40.5,14.3,2,69.84,154
77036,71770,29.5,45716,0.59,5.9,46.8,23.2,45.4,11.6,17.7,19.8,2,97.71,188
77037,19004,31,58750,0.76,5.2,36.8,18.9,47.8,5.9,64.2,1.7,2,72.89,161
77038,32637,21.5,57232,0.74,3.9,36.2,22.9,35.2,3.9,57.6,6.6,2,66.40,148
77039,27862,24.1,47119,0.61,5.5,37.2,20.2,41.3,8.3,59.7,9.4,2,74.99,165
77040,50977,21.1,65028,0.84,6.6,20.6,13.9,22.3,5.6,50.5,4.8,2,56.54,126
77041,33349,13,77083,1.00,5.5,19.8,7.8,16.9,4.3,71.8,1.2,2,39.63,76
77042,38721,17.7,59097,0.77,8.7,25,14.7,10.4,15.4,26.3,9.1,2,62.29,140
77043,29048,14.8,79359,1.03,5.5,21.7,9.4,15.7,5.1,52.8,6,2,47.27,102
77044,58347,13.8,95000,1.23,7,21.2,12.9,15.4,4.8,75.9,5.9,2,43.87,89
77045,33563,23.7,59688,0.77,10.1,25.9,16.7,25.1,3.5,61.1,6.2,2,64.74,142
77046,1793,13.7,131932,1.71,0,2,1.8,0,14.2,48.9,10.5,1,,
77047,34987,14.4,78538,1.02,8.1,18,16.6,11.5,4.4,72.4,7,2,47.05,100
77048,21151,26.9,56747,0.73,12.6,14.9,25.5,16.1,10.1,58.6,9.7,2,69.54,152
77049,40418,20.1,62971,0.82,8.4,28.4,16.7,25.1,5.3,67.9,5.2,2,59.77,134
77050,6566,49.7,37009,0.48,6.8,42.2,28.2,40.9,2.4,49.5,1.9,1,,
77051,19795,37.8,37415,0.48,16.8,20.6,35.3,18.9,9.8,41.8,19.5,2,97.42,187
77053,30198,15.6,66510,0.86,5.7,27.8,17.5,27,2.3,67.2,4.4,2,53.51,117
77054,28272,19,62106,0.80,6.4,13.3,7.2,2,10.7,11.8,15.1,2,58.25,128
77055,45435,20.9,74369,0.96,5.8,25.7,11,21.5,9.1,46,9.4,2,59.72,133
77056,22877,8.6,93499,1.21,5.4,10.9,2.5,1.8,18,33.5,5.6,2,36.16,64
77057,46569,18.5,66971,0.87,5.7,24.8,5.9,15.1,12.6,31.8,11.8,2,59.37,132
77058,17850,13.2,68722,0.89,5.1,15.2,7.3,6.7,11,31.2,4.5,2,44.12,91
77059,18767,3.9,161944,2.10,6.1,5.9,0.5,3.3,3.6,94.2,0.3,2,10.65,3
77060,45340,34.7,40435,0.52,8.8,43.5,24.7,45.9,10.5,25.3,13.5,2,98.13,190
77061,24004,22.4,45115,0.58,6,34.8,20.6,33.5,12.1,37.9,13.3,2,77.67,167
77062,25523,9,103889,1.35,4.5,9,7.6,6.3,4.4,75.6,4.2,2,28.13,40
77063,42690,18.6,59113,0.77,10.2,24.3,11.7,10.5,11.7,24,13.9,2,66.76,149
77064,49591,11.3,81658,1.06,5.7,18.3,15,19.1,5.8,64.3,3.1,2,42.88,85
77065,38926,12.8,74605,0.97,7.6,15,15.6,10.2,8.1,43.8,6.2,2,47.97,106
77066,39311,11.4,87138,1.13,5.5,21.2,16.2,23.3,3.8,73.5,3.8,2,43.75,88
77067,30491,25.1,52032,0.67,6.1,30.7,27.9,29.7,10.1,46.8,8.5,2,73.02,162
77068,13189,10.4,86028,1.11,8.4,16.8,5.8,12,9.6,68.4,4.3,2,40.27,78
77069,20608,14.1,80257,1.04,6.9,10,7.7,4.5,6.4,59,4.6,2,38.84,71
77070,58229,13.3,77397,1.00,7.8,16,8.9,8.2,5.9,47.5,5.9,2,45.11,93
77071,27056,13.2,54139,0.70,8.8,19,20,16.2,7.8,51.1,11.3,2,58.85,130
77072,57108,23.4,51070,0.66,6.7,28.3,23.3,29.3,9.8,45.2,9.4,2,71.45,157
77073,46084,14.7,78592,1.02,5.3,24.1,16,22.5,7.6,64.9,3.1,2,48.36,107
77074,38660,27.1,47810,0.62,4.8,42.2,23.5,42.5,13.2,33.4,16.6,2,88.46,182
77075,40626,16,69191,0.90,8.4,27.1,17.8,29.1,7.6,60.4,5.6,2,59.20,131
77076,31222,27.2,42522,0.55,3.8,37.5,20,44,9,53.4,11.4,2,79.32,171
77077,60098,12.2,72871,0.94,7,13.7,8.4,4.8,15.7,37.4,8.5,2,47.00,98
77078,14247,34.2,39093,0.51,16.3,34.1,36,30.5,9.6,56.2,15.9,2,97.76,189
77079,37276,11.5,101995,1.32,3.1,14.7,6.5,3.5,8.2,48.3,2.8,2,32.07,51
77080,47638,25.6,62134,0.80,6.2,32.5,14.3,28.8,9.7,49.2,7,2,67.67,150
77081,50129,31.8,43251,0.56,5.2,45.5,22.4,46,8.1,6.6,20.7,2,100.00,191
77082,59412,16,62455,0.81,7.6,22.7,14.8,11.5,9.5,36.4,7.8,2,56.29,125
77083,73230,15.7,64418,0.83,7.7,21,19.3,21.9,5,64.2,7.6,2,55.72,124
77084,110217,12.8,80575,1.04,6.3,19.4,13.9,16,6,60,4,2,44.83,92
77085,16513,17,68470,0.89,6.1,28.7,14.4,36.6,4,68.4,4.5,2,57.50,127
77086,28653,14.5,58200,0.75,9.2,34.7,21.1,31.8,5.6,54.8,7.3,2,65.81,145
77087,34347,22,52847,0.68,10.5,33.2,22.2,37.4,9.3,52.3,7.7,2,75.51,166
77088,57047,22.7,54411,0.70,9.9,26.8,20.5,25.8,4.9,61.9,10.9,2,69.62,153
77089,57741,13.2,88140,1.14,6.8,16.8,12.5,15.2,7.1,67.3,3.1,2,41.92,82
77090,40110,23.1,50903,0.66,8.9,22.8,18.5,10.9,14.2,29.3,8.4,2,66.34,147
77091,28728,39.6,35432,0.46,8.4,28.9,29.2,27.3,10.8,35.4,16.4,2,93.20,185
77092,36938,21.3,58728,0.76,5.6,35.7,12.8,24.9,10.1,40.6,6.4,2,64.58,141
77093,46407,29.6,46766,0.61,5.9,38.3,24.2,46.7,8,56.2,8.5,2,81.86,174
77094,10395,6.8,139932,1.81,5.7,6.2,2.4,1.3,1.8,74.3,1.6,2,17.76,9
77095,69767,5.2,91594,1.19,6.2,11.2,5.8,8,3.9,70.6,1.3,2,27.71,37
77096,35032,13.7,82852,1.07,4.2,15.3,13.7,10.2,9.3,44.9,8.3,2,45.70,95
77098,17210,9.6,116650,1.51,4.5,8.8,1.6,1.4,9.7,34.1,7.6,2,32.54,54
77099,50064,25.3,49396,0.64,10.7,35.1,23.1,27.6,8.1,37.4,8.9,2,78.35,168
77301,37769,17.1,66475,0.86,4.5,27.8,12.6,23.4,7,55,5,2,53.69,118
77302,21546,13.3,84673,1.10,3.4,21.7,11.1,11.8,3.2,82.9,3,2,36.45,67
77303,28854,18.9,75348,0.98,8.8,21.5,13.3,12,7.3,74.2,1.6,2,47.52,105
77304,44225,8.2,80425,1.04,3,14.4,5,7.2,4.3,57.2,4.4,2,32.49,53
77306,18086,15.3,76257,0.99,1.3,33.7,20,37.9,8.6,81.9,0.2,2,49.97,111
77316,34694,6.4,124055,1.61,5.1,9.2,5.1,5.4,4.6,89.1,2.4,2,20.81,21
77318,20792,6.6,92415,1.20,3.2,11.2,6.9,9.1,12.2,80.7,2.4,2,27.22,36
77320,38152,15.4,55663,0.72,8.1,14.8,13,17.4,17.5,65.9,6.5,2,52.94,115
77327,42685,22.6,62219,0.81,5.4,35.2,18.5,26.9,15.2,85.6,4.9,2,60.79,137
77328,17208,20.9,62428,0.81,5.7,30.7,12.5,23.6,12.4,79.5,2,2,54.16,121
77334,197,,,,,,,,,,,0,,
77336,14342,14.7,96404,1.25,6.8,13.4,9.9,9.6,13,78.2,3.6,2,38.42,70
77338,48031,19.6,64755,0.84,6.3,22.1,16.8,10,6.4,47.5,6.3,2,53.98,119
77339,44538,8.6,84102,1.09,5.6,10.8,6.6,4.9,6.5,55.9,7.4,2,36.18,65
77340,37517,22.2,48538,0.63,10.3,15.8,8.4,13.5,12.8,47.6,8.5,2,61.25,138
77341,0,,,,,,,,,,,0,,
77342,0,,,,,,,,,,,0,,
77345,27917,4.9,150742,1.95,5.3,3.9,1,3.1,2.9,86,1.7,2,13.28,5
77346,79538,7.5,122241,1.58,4.9,8.1,5.3,5.8,4,81.7,2,2,21.95,27
77354,44900,6.3,112504,1.46,4.2,11.8,3,6.7,12.1,79.9,1.9,2,23.81,28
77355,32847,8.5,102066,1.32,6.1,13.7,3.6,8,4.2,82.7,3.4,2,28.93,43
