zip_code,city,county,state,houston_area
77459,Missouri City,Fort Bend,TX,Y
77461,Needville,Fort Bend,TX,Y
77464,Orchard,Fort Bend,TX,Y
77465,Palacios,Matagorda,TX,Y
77466,Pierce,Waller,TX,Y
77467,Pierce,Wharton,TX,Y
77468,Pledger,Matagorda,TX,Y
77469,Richmond,Fort Bend,TX,Y
77471,Rosenberg,Fort Bend,TX,Y
77473,San Felipe,Austin,TX,Y
77474,Sealy,Austin,TX,Y
77476,Sealy,Fort Bend,TX,Y
77477,Stafford,Fort Bend,TX,Y
77478,Sugar Land,Fort Bend,TX,Y
77479,Sugar Land,Fort Bend,TX,Y
77480,Sweeny,Brazoria,TX,Y
77481,Thompsons,Fort Bend,TX,Y
77482,Van Vieck,Matagorda,TX,Y
77483,Wadsworth,Matagorda,TX,Y
77484,Waller,Waller,TX,Y
77485,"Wallis, Orchard, Simonton",Fort Bend,TX,Y
77486,West Columbia,Brazoria,TX,Y
77488,Wharton,Wharton,TX,Y
77489,Missouri City,Fort Bend,TX,Y
77493,Katy,Harris,TX,Y
77494,Katy,Fort Bend,TX,Y
77498,Sugar Land,Fort Bend,TX,Y
77502,Pasadena,Harris,TX,Y
77503,Pasadena,Harris,TX,Y
77504,Pasadena,Harris,TX,Y
77505,Pasadena,Harris,TX,Y
77506,Pasadena,Harris,TX,Y
77507,Pasadena,Harris,TX,Y
77510,Santa Fe,Galveston,TX,Y
77511,Alvin,Brazoria,TX,Y
77514,Anahuac,Chambers,TX,Y
77515,Angleton,Brazoria,TX,Y
77517,Santa Fe,Galveston,TX,Y
77518,Bacliff,Galveston,TX,Y
77520,Baytown,Harris,TX,Y
77521,Baytown,Harris,TX,Y
77523,Baytown,Chambers,TX,Y
77530,Channelview,Harris,TX,Y
77531,Clute,Brazoria,TX,Y
77532,Crosby,Harris,TX,Y
77533,Devers,Liberty,TX,Y
77534,Damon,Brazoria,TX,Y
77535,Dayton,Harris,TX,Y
77536,Deer Park,Harris,TX,Y
77538,Devers,Liberty,TX,Y
77539,Dickinson,Brazoria,TX,Y
77541,Freeport,Brazoria,TX,Y
77545,Fresno,Fort Bend,TX,Y
77546,Friendswood,Harris,TX,Y
77547,Galena Park,Harris,TX,Y
77550,Galveston,Galveston,TX,Y
77551,Galveston,Galveston,TX,Y
77554,Galveston,Galveston,TX,Y
77555,Galveston,Galveston,TX,Y
77560,Hankamer,Chambers,TX,Y
77561,Hardin,Liberty,TX,Y
77562,Highlands,Harris,TX,Y
77563,Hitchcock,Galveston,TX,Y
77564,Hull,Liberty,TX,Y
77565,Kemah,Galveston,TX,Y
77566,Lake Jackson,Brazoria,TX,Y
77568,La Marque,Galveston,TX,Y
77571,La Porte,Harris,TX,Y
77573,League City,Galveston,TX,Y
77575,Liberty,Liberty,TX,Y
77577,Liverpool,Brazoria,TX,Y
77578,Manvel,Brazoria,TX,Y
77580,Mont Belvieu,Chambers,TX,Y
77581,Pearland,Harris,TX,Y
77582,Raywood,Liberty,TX,Y
77583,Rosharon,Fort Bend,TX,Y
77584,Pearland,Fort Bend,TX,Y
77586,Seabrook,Harris,TX,Y
77587,South Houston,Harris,TX,Y
77590,Texas City,Galveston,TX,Y
77591,Texas City,Galveston,TX,Y
77597,Wallisville,Chambers,TX,Y
77598,Webster,Harris,TX,Y
77617,Gilchrist,Galveston,TX,Y
77623,High Island,Galveston,TX,Y
77650,Port Bolivar,Galveston,TX,Y
77661,Stowell,Chambers,TX,Y
77665,Winnie,Chambers,TX,Y
77801,Bryan,Brazos,TX,Y
77802,Bryan,Brazos,TX,Y
77803,Bryan,Brazos,TX,Y
77807,Bryan,Brazos,TX,Y
77808,Bryan,Brazos,TX,Y
77830,Anderson,Grimes,TX,Y
77831,Bedias,Grimes,TX,Y
77840,College Station,Brazos,TX,Y
77843,College Station,Brazos,TX,Y
77845,College Station,Brazos,TX,Y
77859,Hearne,Brazos,TX,Y
77861,Iola,Grimes,TX,Y
77866,Millican,Brazos,TX,Y
77868,Navasota,Grimes,TX,Y
77873,Richards,Grimes,TX,Y
77875,Roans Prairie,Grimes,TX,Y
77876,Shiro,Grimes,TX,Y
78931,Bleiblerville,Austin,TX,Y
78933,Cat Spring,Austin,TX,Y
78944,Industry,Austin,TX,Y
78950,New Ulm,Austin,TX,Y
